Step,AgentID,X,Y,velocity,current_lane
21,11,0.0,150.0,[0.5 0. ],1
21,12,0.0,150.0,[0.5 0. ],1
21,13,0.0,150.0,[0.5 0. ],1
21,14,0.0,150.0,[0.5 0. ],1
21,15,0.0,150.0,[0.5 0. ],1
21,16,0.0,150.0,[0.5 0. ],1
21,17,0.0,150.0,[0.5 0. ],1
21,18,0.0,150.0,[0.5 0. ],1
21,19,0.0,150.0,[0.5 0. ],1
22,0,10.9,50.0,[0.4272 0.    ],0
22,1,0.0,50.0,[0.5 0. ],0
22,2,0.0,50.0,[0.5 0. ],0
22,3,0.0,50.0,[0.5 0. ],0
22,4,0.0,50.0,[0.5 0. ],0
22,5,0.0,50.0,[0.5 0. ],0
22,6,0.0,50.0,[0.5 0. ],0
22,7,0.0,50.0,[0.5 0. ],0
22,8,0.0,50.0,[0.5 0. ],0
22,9,0.0,50.0,[0.5 0. ],0
22,10,10.9,150.0,[0.5 0. ],1
22,11,0.0,150.0,[0.5 0. ],1
22,12,0.0,150.0,[0.5 0. ],1
22,13,0.0,150.0,[0.5 0. ],1
22,14,0.0,150.0,[0.5 0. ],1
22,15,0.0,150.0,[0.5 0. ],1
22,16,0.0,150.0,[0.5 0. ],1
22,17,0.0,150.0,[0.5 0. ],1
22,18,0.0,150.0,[0.5 0. ],1
22,19,0.0,150.0,[0.5 0. ],1
23,0,11.4,50.0,[0.4272 0.    ],0
23,1,0.0,50.0,[0.5 0. ],0
23,2,0.0,50.0,[0.5 0. ],0
23,3,0.0,50.0,[0.5 0. ],0
23,4,0.0,50.0,[0.5 0. ],0
23,5,0.0,50.0,[0.5 0. ],0
23,6,0.0,50.0,[0.5 0. ],0
23,7,0.0,50.0,[0.5 0. ],0
23,8,0.0,50.0,[0.5 0. ],0
23,9,0.0,50.0,[0.5 0. ],0
23,10,11.4,150.0,[0.5 0. ],1
23,11,0.0,150.0,[0.5 0. ],1
23,12,0.0,150.0,[0.5 0. ],1
23,13,0.0,150.0,[0.5 0. ],1
23,14,0.0,150.0,[0.5 0. ],1
23,15,0.0,150.0,[0.5 0. ],1
23,16,0.0,150.0,[0.5 0. ],1
23,17,0.0,150.0,[0.5 0. ],1
23,18,0.0,150.0,[0.5 0. ],1
23,19,0.0,150.0,[0.5 0. ],1
24,0,11.9,50.0,[0.4272 0.    ],0
24,1,0.0,50.0,[0.5 0. ],0
24,2,0.0,50.0,[0.5 0. ],0
24,3,0.0,50.0,[0.5 0. ],0
24,4,0.0,50.0,[0.5 0. ],0
24,5,0.0,50.0,[0.5 0. ],0
24,6,0.0,50.0,[0.5 0. ],0
24,7,0.0,50.0,[0.5 0. ],0
24,8,0.0,50.0,[0.5 0. ],0
24,9,0.0,50.0,[0.5 0. ],0
24,10,11.9,150.0,[0.5 0. ],1
24,11,0.0,150.0,[0.5 0. ],1
24,12,0.0,150.0,[0.5 0. ],1
24,13,0.0,150.0,[0.5 0. ],1
24,14,0.0,150.0,[0.5 0. ],1
24,15,0.0,150.0,[0.5 0. ],1
24,16,0.0,150.0,[0.5 0. ],1
24,17,0.0,150.0,[0.5 0. ],1
24,18,0.0,150.0,[0.5 0. ],1
24,19,0.0,150.0,[0.5 0. ],1
25,0,12.4,50.0,[0.4272 0.    ],0
25,1,0.0,50.0,[0.5 0. ],0
25,2,0.0,50.0,[0.5 0. ],0
25,3,0.0,50.0,[0.5 0. ],0
25,4,0.0,50.0,[0.5 0. ],0
25,5,0.0,50.0,[0.5 0. ],0
25,6,0.0,50.0,[0.5 0. ],0
25,7,0.0,50.0,[0.5 0. ],0
25,8,0.0,50.0,[0.5 0. ],0
25,9,0.0,50.0,[0.5 0. ],0
